id,name,city,tier,star,address
001,24 Diner,Austin,Fair,yes,"600 N Lamar Blvd, Unit 200, Austin, TX 78703, United States"
002,Aba,Austin,Experience,yes,"1011 S Congress Ave Building 2, Ste 180, Austin, TX 78704, United States"
003,ALC Steaks,Austin,Destination,,"1205 N Lamar Blvd, Austin, TX 78703, United States"
004,Arlo Grey,Austin,Destination,,"111 E Cesar Chavez St, Austin, TX 78701, United States"
005,BOA Steakhouse,Austin,Destination,,"300 W 6th St, Austin, TX 78701, United States"
006,Canje,Austin,Destination,yes,"1914 E 6th St, Unit C, Austin, TX 78702, United States"
007,Cap's On The Water,St. Augustine,Destination,,"4325 Myrtle Street, St. Augustine, FL 32084, United States"
008,Castillo Craft Bar + Kitchen,St. Augustine,Destination,,"6 W Castillo Dr, Saint Augustine, FL 32084, United States"
009,Chez L'Amour,St. Augustine,Destination,,"45 San Marco Ave, Saint Augustine, FL 32084, United States"
010,Clay Pit,Austin,Destination,,"1601 Guadalupe St, Austin, TX 78701, United States"
011,Colleen's Kitchen,Austin,Fair,yes,"1911 Aldrich St, Unit 100, Austin, TX 78723, United States"
012,Comedor,Austin,Experience,yes,"501 Colorado St, Austin, TX 78701, United States"
013,Cosmo,Oxfordshire,Fair,yes,"8 Magdalen Street, Oxford, OX1 3AD, England"
014,Dai Due,Austin,Destination,,"2406 Manor Rd, Austin, TX 78722, United States"
015,Dean's Italian Steakhouse,Austin,Destination,,"110 E 2nd St, Austin, TX 78701, United States"
016,El Raval,Austin,Destination,,"1500 S Lamar Blvd, Unit 150, Austin, TX 78704, United States"
017,Ember Kitchen,Austin,Destination,,"800 W Cesar Chavez St, Unit PP110, Austin, TX 78701, United States"
018,Emmer & Rye,Austin,Destination,,"51 Rainey St, Unit 110, Austin, TX 78701, United States"
019,Ezov,Austin,Experience,yes,"2708 E Cesar Chavez St, Austin, TX 78702, United States"
020,Fabrik,Austin,Destination,,"1701 E Martin Luther King Jr Blvd, Ste 102, Austin, TX 78702, United States"
021,Fixe Southern House,Austin,Destination,,"500 W 5th St, Austin, TX 78701, United States"
022,Franklin Barbecue,Austin,Destination,,"900 E 11th St, Austin, TX 78702, United States"
023,Garvens Store,Mountain Home,,yes,"27304 N. US-83, Mountain Home, TX 78058, United States"
024,Geraldine's,Austin,Experience,yes,"605 Davis St, Austin, TX 78701, United States"
025,Gina's on Congress,Austin,Fair,yes,"314 Congress Ave, Austin, TX 78701, United States"
026,Haywire,Austin,Destination,yes,"11501 Rock Rose Ave, Unit 100, Austin, TX 78758, United States"
027,Hestia,Austin,Experience,yes,"607 W 3rd St, Unit 105, Austin, TX 78701, United States"
028,Il Brutto,Austin,Destination,,"1601 E 6th St, Austin, TX 78702, United States"
029,June's All Day,Austin,Fair,yes,"1722 S Congress Ave, Austin, TX 78704, United States"
030,Juniper,Austin,Destination,,"2400 E Cesar Chavez St, Unit 304, Austin, TX 78702, United States"
031,Justine's,Austin,Experience,yes,"4710 E Fifth St, Austin, TX 78702, United States"
032,Kemuri Tatsu-Ya,Austin,Destination,,"2713 E 2nd St, Austin, TX 78702, United States"
033,la Barbecue,Austin,Destination,,"2401 E Cesar Chavez, Austin, TX 78702, United States"
034,Lamberts,Austin,Fair,yes,"401 W 2nd St, Austin, TX 78701, United States"
035,Launderette,Austin,Destination,,"2115 Holly St, Austin, TX 78702, United States"
036,Laurel Restaurant,Austin,,yes,"320 S Capital of Texas Hwy Bldg B, West Lake Hills, TX 78746, United States"
037,Lonesome Dove,Austin,Destination,,"123 W 6th St, Austin, TX 78701, United States"
038,Lutie's,Austin,Destination,,"4100 Red River St, Austin, TX 78751, United States"
039,L’Oca d’Oro,Austin,Destination,,"1900 Simond Ave, Unit 100, Austin, TX 78723, United States"
040,Neighborhood Sushi,Austin,Destination,,"1716 S Congress Ave, Austin, TX 78704, United States"
041,Nido,Austin,Destination,,"1211 W Riverside Dr, Austin, TX 78704, United States"
042,Nomade,Austin,Experience,yes,"1506 S 1st St, Austin, TX 78704, United States"
043,Ranch 616,Austin,Fair,yes,"616 Nueces St, Austin, TX 78701, United States"
044,Rose Gose,Austin,Destination,,"5201 Airport Blvd, Austin, TX 78751, United States"
045,Roya,Austin,Experience,yes,"7858 Shoal Creek Blvd, Ste C, Austin, TX 78757, United States"
046,Sammie's,Austin,Destination,,"807 W 6th St, Austin, TX 78703, United States"
047,Space Cowboy,Austin,Destination,,"1917 E 7th St, Austin, TX 78702, United States"
048,Suerte,Austin,Destination,,"1800 E 6th St, Austin, TX 78702, United States"
049,Sway,Austin,Destination,,"3437 Bee Caves Road, West Lake Hills, TX 78746, United States"
050,The Carillon,Austin,Destination,,"1900 University Ave, Austin, TX 78705, United States"
051,The Guest House,Austin,Destination,,"110 San Antonio St, Unit 140, Austin, TX 78701, United States"
052,The Kitchen,Austin,Experience,yes,"400 W 6th St, Unit 125, Austin, TX 78701, United States"
053,Toshokan,Austin,Destination,,"807 E 4th St, Austin, TX 78702, United States"
054,UOVO,Los Angeles,Fair,yes,"4635 Admiralty Way, Unit 105, Marina del Rey, CA 90292, United States"
055,Vaudeville,Austin,Destination,,"230 E Main St, Fredericksburg, TX 78624, United States"
056,Verbena,Austin,Destination,,"612 W 6th St, Austin, TX 78701, United States"
057,Vince Young Steakhouse,Austin,Destination,,"301 San Jacinto Blvd, Austin, TX 78701, United States"
058,Yellow Ranger,Austin,Cool,yes,"5420 Airport Blvd, Austin, TX 78751, United States"
